N,P,K,temperature,humidity,ph,rainfall
0.0,0.045454547,0.0,0.8026537,0.9763937,0.8271324,0.4792553
0.028571429,0.9909091,1.0,0.7894052,0.81974036,0.0026490507,0.18007375
0.04761905,0.5272727,0.049723756,0.18120763,0.0,0.020938914,0.65475136
0.30476192,0.22727273,0.016574586,0.5534687,0.5409615,0.36705863,0.0
0.114285715,0.0,0.0,0.0,0.9737021,0.32271707,0.5113699
0.8952381,0.3,0.016574586,0.4004968,0.750832,0.4363114,0.18663412
0.73333335,0.6,0.22099447,0.46973178,0.8540375,0.0,0.3776
0.0,0.0,0.0,1.0,0.9559685,1.0,0.50449914
0.2857143,1.0,1.0,0.49650925,0.86303216,0.33409095,0.18722953
0.0,0.6,0.0,0.20969486,0.60149854,0.97680116,0.0
0.23809524,0.10909091,0.0,0.0,0.94859606,0.7307192,0.462236
0.14285715,0.34545454,0.0,0.7733784,0.9365728,0.56088144,0.052515112
1.0,0.17272727,0.10497238,0.55072564,0.41295716,0.60098803,0.5616097
0.00952381,0.45454547,0.049723756,0.0672624,0.58709335,0.63113827,0.08314262
0.84761906,0.21818182,0.110497236,0.6256582,0.64319223,0.39434868,0.982792
0.8095238,0.07272727,0.06077348,0.55514354,0.48695174,0.853977,0.97779703
1.0,0.6727273,0.18232045,0.6173024,0.7699763,0.31972563,0.38278115
0.13333334,0.24545455,0.0,0.7883836,0.9208389,0.82285523,0.03149313
0.75238097,0.0,0.20994475,0.68995446,0.9885552,0.44435304,0.0
0.22857143,0.9909091,1.0,0.198324,0.9864706,0.0041346266,0.42584723
0.07619048,0.9818182,1.0,0.0,0.85969985,0.29887232,0.2213825
0.7904762,0.0,0.17679559,0.80378014,1.0,0.38402086,0.0
0.8095238,0.6454545,0.2044199,0.75778264,0.78852946,0.4156967,0.49939737
0.33333334,0.44545454,0.0,0.7747549,0.5828068,0.90314335,0.16185752
0.21904762,0.25454545,0.03314917,0.9266701,0.56443834,1.0,0.157508
0.2761905,0.55454546,0.038674034,0.5831669,0.5661231,0.67152655,0.017474344
0.8857143,0.14545454,0.22099447,0.76105964,0.9686967,0.5517326,0.0
0.07619048,0.4181818,0.038674034,0.3746762,0.6357722,0.60492194,0.043515254
0.17142858,0.12727273,0.0,0.017678821,0.99390835,0.29808983,0.51138294
0.0,0.38181818,0.055248618,0.6877009,0.29342887,0.0,0.036250506
0.20952381,0.56363636,0.03314917,0.44285583,0.3906176,0.2227617,0.4783901
0.7619048,0.2090909,0.049723756,0.57070124,0.70632535,0.11188429,0.21410337
0.34285715,0.54545456,0.055248618,1.0,0.62606585,0.47164267,0.21345389
0.028571429,0.58181816,0.011049724,0.10802974,0.0219494,0.10994958,0.42595372
1.0,0.22727273,0.044198897,0.48520842,0.8580765,0.30794784,0.31156603
0.53333336,0.26363635,0.1160221,0.2993732,0.8359576,0.43546596,1.0
0.30476192,0.42727274,0.027624309,0.8081786,0.5332084,0.9697195,0.04285221
1.0,0.07272727,0.19889502,0.41807356,0.89631194,0.56071913,0.05432771
1.0,0.3,0.055248618,0.41868445,0.83074176,0.6003161,0.1331639
0.25714287,0.56363636,0.03314917,1.0,0.65047425,0.5666849,0.14288655
0.028571429,0.42727274,0.044198897,0.960934,0.4842542,0.3579333,0.15548855
0.028571429,1.0,1.0,0.17986892,0.9577538,0.036075857,0.40428913
0.8,0.3181818,0.16574585,0.39177743,0.6840245,0.47532055,0.7324212
0.14285715,0.14545454,0.0,0.2649473,0.9785507,0.43982512,0.4983132
0.20952381,0.6090909,0.011049724,0.07191138,0.0,0.12303608,0.6712174
0.51428574,0.28181818,0.044198897,0.44433272,0.6661117,0.0793175,0.23599876
0.9047619,0.5181818,0.18232045,0.48507553,0.7365609,0.2253738,0.49304846
0.0,0.10909091,0.0,0.051254287,0.9760064,0.40106153,0.49238542
0.0,0.14545454,0.07734807,0.6268421,0.37305975,0.24517377,0.34445706
1.0,0.21818182,0.09392265,0.32281595,0.62396306,0.6155205,0.79011166
0.0,0.23636363,0.0,0.6803068,0.84788835,0.4599064,0.061016146
0.32380953,1.0,1.0,0.4571379,0.8452978,0.4590005,0.17126967
0.0,0.34545454,0.011049724,0.5222433,0.32587025,0.1376807,0.0
0.54285717,0.3090909,0.110497236,0.6020896,0.9346963,0.94029397,0.99214506
0.51428574,0.3181818,0.13259669,0.40742534,0.8109937,0.7437164,1.0
0.24761905,0.10909091,0.110497236,0.0,0.8873943,0.16507038,0.43142006
0.9142857,0.13636364,0.21546961,0.47036186,0.8106404,0.6530258,0.098948024
0.17142858,0.43636364,0.011049724,0.28899136,0.6011195,0.33641866,0.0
0.23809524,0.44545454,0.2044199,1.0,0.9905269,0.71791106,0.91565174
0.25714287,0.42727274,0.0,0.7436315,0.83035797,0.47615933,0.10550339
1.0,0.0,0.21546961,0.4861858,0.82078296,0.54822487,0.11014584
0.6761905,0.4090909,0.022099448,0.30112028,0.47484356,0.11409013,0.39650208
0.0,0.0,0.110497236,0.60474414,1.0,0.33561,0.6906553
0.21904762,1.0,1.0,0.36129805,1.0,0.29748788,0.49393964
0.21904762,0.5,0.044198897,0.39891154,0.0,0.1320782,0.49420565
0.83809525,0.23636363,0.016574586,0.37927765,0.48869035,0.16516066,0.40447292
0.26666668,0.48181817,0.022099448,1.0,0.52674454,1.0,0.21481612
0.4857143,0.5,0.3646409,0.0,0.0,1.0,0.2105526
0.8761905,0.3090909,0.12154696,0.34995034,0.82557976,0.9114543,1.0
0.51428574,0.27272728,0.160221,0.17251977,0.84846157,0.93197566,1.0
0.41904762,0.3909091,0.33701658,0.17076118,0.0,1.0,0.21520697
0.17142858,0.12727273,0.10497238,0.7383688,1.0,0.3213696,0.6770366
0.03809524,0.3909091,0.016574586,0.6748409,0.6462937,0.88710135,0.03834258
0.2761905,0.22727273,0.022099448,0.48264888,0.56913793,1.0,0.0
0.6857143,0.2,0.160221,0.5702417,0.872781,0.7589991,0.9259497
0.0,0.3090909,0.016574586,0.75875276,0.8107129,0.5790804,0.0
0.20952381,0.5181818,0.03314917,0.4872205,0.5312338,0.9426126,0.0
1.0,0.73636365,0.20994475,0.5552637,0.76229244,0.31501666,0.50681394
0.20952381,1.0,1.0,0.29829988,0.97804934,0.44164774,0.5181105
0.52380955,0.25454545,0.011049724,0.46934164,0.5985256,0.23000826,0.23571451
0.00952381,0.09090909,0.110497236,0.08118525,0.92990726,0.7497651,0.40268895
0.15238096,1.0,0.9944751,0.6632198,0.856405,0.32379636,0.21211839
0.13333334,0.54545456,0.038674034,0.0,0.0,0.2070566,0.5823597
0.2761905,1.0,1.0,0.27391618,1.0,0.1653609,0.4037815
0.20952381,0.5,0.022099448,1.0,0.54376584,1.0,0.20826413
0.43809524,0.34545454,0.20994475,1.0,0.9918867,0.7152746,1.0
0.01904762,0.33636364,0.03314917,0.7204039,0.9355289,0.32919675,0.06669925
0.03809524,0.21818182,0.038674034,0.72748965,0.9357097,0.7575352,0.11853325
0.7714286,0.13636364,0.110497236,0.57145107,0.48409048,0.60119915,0.72223985
0.552381,0.2,0.044198897,0.3165841,0.5509535,0.058062896,0.14763485
0.01904762,0.21818182,0.09944751,0.68072665,0.45303452,0.2835065,0.3697703
0.123809524,0.22727273,0.06077348,0.9259887,0.36565354,0.0,0.34213498
1.0,0.3090909,0.005524862,0.3587217,0.7968014,1.0,0.20869218
0.06666667,0.54545456,0.027624309,0.855408,0.17788184,0.0,0.7902137
0.61904764,0.3909091,0.12154696,0.32870024,0.89447457,0.4664255,0.87742054
0.14285715,0.0,0.13812155,0.42394054,0.95714784,0.19703275,0.4224863
0.7619048,0.74545455,0.1878453,0.6790573,0.7791451,0.44991702,0.4403959
0.00952381,0.3909091,0.016574586,0.0,0.020224199,0.06712998,0.23220955
0.08571429,0.0,0.12707183,0.32433826,0.98594564,0.536474,0.446833
0.0,0.47272727,0.022099448,0.0,0.63867563,0.7115278,0.055748455
